Region,Covid,Pre-Covid,Covid_Impact (pp)
Puducherry,57.7,1.58,56.12
Jharkhand,44.9,13.95,30.95
Tamil Nadu,31.74,3.16,28.58
Bihar,36.99,13.99,23.0
Karnataka,19.16,3.27,15.89
Haryana,37.69,23.17,14.52
Telangana,18.64,4.77,13.87
Kerala,20.94,7.17,13.77
Madhya Pradesh,17.76,4.58,13.18
Andhra Pradesh,15.78,5.21,10.57
Maharashtra,15.42,5.41,10.01
Delhi,24.17,14.4,9.77
Uttar Pradesh,19.56,10.64,8.92
Odisha,11.87,3.96,7.91
Goa,15.89,8.33,7.56
Chhattisgarh,14.85,7.71,7.14
West Bengal,13.73,6.6,7.13
Gujarat,11.68,5.3,6.38
Rajasthan,18.41,12.87,5.54
Meghalaya,9.09,3.82,5.27
Punjab,16.08,10.93,5.15
Uttarakhand,8.93,5.91,3.02
Assam,6.39,6.44,-0.05
Sikkim,6.79,7.44,-0.65
Tripura,26.05,28.98,-2.93
Himachal Pradesh,15.4,19.4,-4.0
Jammu & Kashmir,11.38,16.99,-5.61
Chandigarh,7.22,16.79,-9.57
