Region,AvgUnemp,AvgLPR,Shock,Cluster
Andhra Pradesh,7.477142857142857,39.37571428571429,10.57,1
Assam,6.428076923076923,44.86846153846154,-0.05,1
Bihar,18.91821428571429,38.15392857142857,23.0,2
Chandigarh,15.991666666666667,39.336666666666666,-9.57,1
Chhattisgarh,9.240357142857144,42.81071428571429,7.14,1
Delhi,16.49535714285714,38.92964285714286,9.77,1
Goa,9.274166666666666,39.249583333333334,7.56,1
Gujarat,6.663928571428571,46.10107142857142,6.38,1
Haryana,26.283214285714283,42.737142857142864,14.52,2
Himachal Pradesh,18.540357142857143,44.222142857142856,-4.0,1
Jammu & Kashmir,16.18857142857143,41.03095238095238,-5.61,1
Jharkhand,20.585,41.67071428571428,30.95,2
Karnataka,6.676071428571428,41.34535714285715,15.89,1
Kerala,10.12392857142857,34.86785714285714,13.77,1
Madhya Pradesh,7.406428571428571,38.82142857142857,13.18,1
Maharashtra,7.5575,42.30321428571428,10.01,1
Meghalaya,4.7988888888888885,57.080740740740744,5.27,0
Odisha,5.657857142857142,38.92642857142857,7.91,1
Puducherry,10.215000000000002,38.99269230769231,56.12,2
Punjab,12.031071428571428,41.138214285714284,5.15,1
Rajasthan,14.058214285714286,39.973214285714285,5.54,1
Sikkim,7.249411764705882,46.07,-0.65,1
Tamil Nadu,9.284285714285714,40.87214285714286,28.58,2
Telangana,7.737857142857143,53.0025,13.87,0
Tripura,28.350357142857142,61.82392857142857,-2.93,0
Uttar Pradesh,12.551428571428572,39.432500000000005,8.92,1
Uttarakhand,6.582962962962963,33.775555555555556,3.02,1
West Bengal,8.124642857142858,45.417500000000004,7.13,1
